Site_ID,Name,Region,GDP/GMP Compliance
SITE00938,Principal Research Site,North America,GMP/GDP Compliant
SITE00939,Central Production Location,East Asia,GDP Compliant
SITE00940,Flagship Distribution Facility,Oceania,GDP Pending
SITE00941,Primary Development Location,Oceania,GMP Certified
SITE00942,Central Processing Complex,Sub-Saharan Africa,GDP Compliant
SITE00943,Main Processing Location,Eastern Europe,Fully Certified
SITE00944,Key Development Plant,Central America,Certified with Exceptions
SITE00945,Principal Research Complex,Eastern Europe,Certified with Exceptions
SITE00946,Central Storage Laboratory,Northern Europe,GMP Pending
SITE00947,Flagship Clinical Unit,Oceania,Under Review
SITE00948,Main Manufacturing Location,Middle East,Fully Certified
SITE00949,Primary Development Complex,Western Europe,GMP/GDP Compliant
SITE00950,Advanced Clinical Hub,Middle East,GMP/GDP Compliant
SITE00951,Advanced Development Center,Oceania,GDP Pending
SITE00952,Core Distribution Laboratory,Oceania,Under Review
SITE00953,Strategic Production Hub,Southern Europe,Dual Certified
SITE00954,Principal Manufacturing Facility,Southern Europe,Fully Certified
SITE00955,Strategic Testing Plant,South America,Fully Certified
SITE00956,Principal Distribution Complex,Central America,Dual Certified
SITE00957,Strategic Clinical Facility,South Asia,GMP Certified
SITE00958,Main Processing Campus,Central Asia,Conditionally Approved
SITE00959,Strategic Processing Hub,Oceania,Conditionally Approved
SITE00960,Key Packaging Center,Southern Europe,GMP Certified
SITE00961,Key Testing Location,Middle East,Fully Certified
SITE00962,Key Distribution Site,Middle East,GDP Pending
SITE00963,Strategic Research Unit,Southeast Asia,GMP/GDP Compliant
SITE00964,Flagship Packaging Campus,Sub-Saharan Africa,Fully Certified
SITE00965,Key Processing Plant,Caribbean,GDP Compliant
SITE00966,Key Testing Campus,North Africa,Fully Certified
SITE00967,Key Clinical Campus,South Asia,Fully Certified
SITE00968,Advanced Clinical Center,Oceania,GMP Certified
SITE00969,Strategic Research Facility,North Africa,Under Review
SITE00970,Principal Testing Laboratory,East Asia,Dual Certified
SITE00971,Key Research Center,Central America,GMP/GDP Compliant
SITE00972,Regional Distribution Laboratory,East Asia,GDP Pending
SITE00973,Regional Production Facility,North America,GMP Certified
SITE00974,Primary Manufacturing Unit,Eastern Europe,Conditionally Approved
SITE00975,Primary Clinical Hub,Caribbean,Dual Certified
SITE00976,Main Clinical Hub,Sub-Saharan Africa,Dual Certified
SITE00977,Principal Production Unit,Eastern Europe,Dual Certified
SITE00978,Core Development Facility,North Africa,Fully Certified
SITE00979,Key Packaging Site,Central Asia,GDP Pending
SITE00980,Flagship Production Unit,Central Asia,GMP/GDP Compliant
SITE00981,Principal Manufacturing Hub,Sub-Saharan Africa,GMP/GDP Compliant
SITE00982,Flagship Processing Plant,North Africa,GMP Certified
SITE00983,Central Production Facility,East Asia,GDP Compliant
SITE00984,Regional Distribution Site,Southern Europe,Certified with Exceptions
SITE00985,Key Clinical Facility,Southern Europe,Conditionally Approved
SITE00986,Strategic Processing Complex,Middle East,GMP Certified
SITE00987,Primary Processing Center,North America,GDP Compliant
SITE00988,Main Manufacturing Complex,Central Asia,Dual Certified
SITE00989,Central Packaging Location,Oceania,GMP/GDP Compliant
SITE00990,Central Storage Center,Eastern Europe,Under Review
SITE00991,Core Distribution Laboratory,Caribbean,GMP/GDP Compliant
SITE00992,Main Storage Complex,North Africa,GDP Compliant
SITE00993,Main Testing Center,South America,GDP Pending
SITE00994,Key Research Laboratory,North Africa,GDP Compliant
SITE00995,Core Clinical Hub,North Africa,GDP Pending
SITE00996,Principal Storage Complex,Southern Europe,GDP Pending
SITE00997,Core Production Complex,Caribbean,Dual Certified
SITE00998,Key Clinical Campus,Eastern Europe,Certified with Exceptions
SITE00999,Key Packaging Location,Middle East,Conditionally Approved
SITE01000,Main Clinical Campus,Caribbean,Conditionally Approved
